beverage_id,beverage_name,type,category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
1,Classic Mojito,Cocktail,Cocktail,Beginner,5,5,"Blender","white rum:60ml,lime:30g,sugar:15g,mint:10g,soda water:120ml,ice:200g","Muddle mint and sugar with lime juice|Add rum and ice|Top with soda water|Stir gently and garnish with mint"
2,Espresso Martini,Cocktail,Cocktail,Intermediate,5,5,"Espresso Machine,Blender","vodka:45ml,coffee liqueur:30ml,espresso:30ml,sugar syrup:10ml,ice:150g","Pull a fresh shot of espresso|Combine vodka coffee liqueur espresso syrup in shaker|Add ice and shake vigorously|Double strain into martini glass|Garnish with coffee beans"
3,Virgin Piña Colada,Mocktail,Mocktail,Beginner,5,5,"Blender","pineapple juice:150ml,coconut cream:60ml,pineapple:100g,ice:200g,cherry:10g","Blend pineapple juice coconut cream pineapple chunks ice|Pour into glass|Garnish with pineapple slice and cherry"
4,Classic Latte,Coffee,Coffee,Beginner,5,5,"Espresso Machine","espresso:30ml,milk:200ml,sugar:10g","Pull double shot of espresso|Steam milk until silky microfoam|Pour milk over espresso in circular motion|Optional add sugar"
5,Matcha Latte,Tea,Tea,Beginner,5,5,"Blender","matcha powder:3g,milk:250ml,honey:10g,hot water:30ml","Sift matcha powder into bowl|Whisk with hot water until smooth|Heat and froth milk|Pour matcha into glass|Add frothed milk and honey"
6,Margarita,Cocktail,Cocktail,Beginner,5,5,"Blender","tequila:60ml,triple sec:30ml,lime juice:30ml,salt:3g,ice:200g,lime:20g","Rim glass with salt|Combine tequila triple sec lime juice ice in shaker|Shake well and strain into glass|Garnish with lime wheel"
7,Mango Lassi,Mocktail,Mocktail,Beginner,5,5,"Blender","mango:200g,yogurt:150g,milk:100ml,sugar:20g,cardamom:1g,ice:100g","Blend mango yogurt milk sugar cardamom ice|Pour into glass|Garnish with cardamom powder"
8,Cold Brew Coffee,Coffee,Coffee,Beginner,5,720,"","coarse ground coffee:80g,cold water:800ml","Combine coffee and cold water in jar|Stir gently|Refrigerate for 12-24 hours|Strain through fine mesh filter|Dilute with water or milk to taste"
9,Chai Latte,Tea,Tea,Beginner,5,15,"Stove,Espresso Machine","black tea:10g,milk:200ml,water:100ml,sugar:15g,cinnamon:2g,cardamom:2g,ginger:5g,cloves:1g,star anise:1g","Simmer water with all spices 5 min|Add tea leaves steep 3 min|Strain into cup|Steam milk and pour over tea|Sweeten to taste"
10,Strawberry Smoothie,Smoothie,Smoothie,Beginner,5,5,"Blender","strawberry:200g,banana:100g,yogurt:100g,milk:100ml,honey:15g,ice:100g","Blend all ingredients until smooth|Pour into glass|Garnish with strawberry"
11,Old Fashioned,Cocktail,Cocktail,Intermediate,5,5,"","bourbon:60ml,sugar:5g,angostura bitters:2ml,orange peel:5g,cherry:10g,ice:100g","Muddle sugar and bitters with splash of water|Add bourbon and ice|Stir until well chilled|Garnish with orange peel and cherry"
12,Affogato,Coffee,Dessert,Beginner,5,5,"Espresso Machine","espresso:30ml,vanilla ice cream:100g,chocolate shavings:5g","Scoop ice cream into serving glass|Pull fresh espresso shot|Pour hot espresso over ice cream|Top with chocolate shavings"
