beverage_id,beverage_name,type,category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
1,Tropical Vodka Cocktail 1,Cocktail,Cocktail,Intermediate,13,25,,"vodka:36g,tonic water:117ml,ginger beer:4g,mint:18g,cucumber:200g",Prepare the glassware for the tropical vodka cocktail 1|Combine vodka with tonic water and ginger beer|Add mint and cucumber and mix until balanced|Finish using a serving glass|Serve the tropical vodka cocktail 1 immediately
2,Global Sparkling Water Mocktail 2,Mocktail,Mocktail,Intermediate,15,29,Blender,"sparkling water:136ml,lemon juice:196ml,lime juice:143ml,pomegranate:82g,mango:196g",Prepare the glassware for the global sparkling water mocktail 2|Combine sparkling water with lemon juice and lime juice|Add pomegranate and mango and mix until balanced|Finish using Blender|Serve the global sparkling water mocktail 2 immediately
3,Global Drip Coffee Coffee 3,Coffee,Coffee,Intermediate,8,9,,"drip coffee:42ml,water:217ml,almond milk:151ml,vanilla syrup:252ml,cinnamon:10g",Prepare the glassware for the global drip coffee coffee 3|Combine drip coffee with water and almond milk|Add vanilla syrup and cinnamon and mix until balanced|Finish using a serving glass|Serve the global drip coffee coffee 3 immediately
4,Japanese Black Tea Tea 4,Tea,Tea,Beginner,10,24,Stove,"black tea:58ml,lemon juice:44ml,hot water:289ml,orange peel:49g,ginger:8g",Prepare the glassware for the japanese black tea tea 4|Combine black tea with lemon juice and hot water|Add orange peel and ginger and mix until balanced|Finish using Stove|Serve the japanese black tea tea 4 immediately
5,African Milk Smoothie 5,Smoothie,Smoothie,Intermediate,16,28,Blender,"milk:105ml,spinach:35g,banana:146g,mint:10g,ginger:2g",Prepare the glassware for the african milk smoothie 5|Combine milk with spinach and banana|Add mint and ginger and mix until balanced|Finish using Blender|Serve the african milk smoothie 5 immediately
6,Mediterranean Rum Cocktail 6,Cocktail,Cocktail,Beginner,16,25,,"rum:78g,lemon juice:205ml,orange juice:259ml,pineapple:96g,basil:13g",Prepare the glassware for the mediterranean rum cocktail 6|Combine rum with lemon juice and orange juice|Add pineapple and basil and mix until balanced|Finish using a serving glass|Serve the mediterranean rum cocktail 6 immediately
7,European Sparkling Water Mocktail 7,Mocktail,Mocktail,Beginner,9,15,Blender,"sparkling water:214ml,lime juice:243ml,rose syrup:71ml,strawberry:50g,watermelon:198ml",Prepare the glassware for the european sparkling water mocktail 7|Combine sparkling water with lime juice and rose syrup|Add strawberry and watermelon and mix until balanced|Finish using Blender|Serve the european sparkling water mocktail 7 immediately
8,Vietnamese Espresso Coffee 8,Coffee,Coffee,Beginner,16,26,Espresso Machine,"espresso:176ml,water:159ml,oat milk:99ml,ice:195g,cardamom:4g",Prepare the glassware for the vietnamese espresso coffee 8|Combine espresso with water and oat milk|Add ice and cardamom and mix until balanced|Finish using Espresso Machine|Serve the vietnamese espresso coffee 8 immediately
9,Japanese Matcha Powder Tea 9,Tea,Tea,Intermediate,15,29,Blender,"matcha powder:37g,milk:78ml,honey:81g,ginger:11g,ice:197g",Prepare the glassware for the japanese matcha powder tea 9|Combine matcha powder with milk and honey|Add ginger and ice and mix until balanced|Finish using Blender|Serve the japanese matcha powder tea 9 immediately
10,Tropical Milk Smoothie 10,Smoothie,Smoothie,Beginner,8,10,Blender,"milk:91ml,spinach:76g,mango:160g,honey:70g,cocoa:7g",Prepare the glassware for the tropical milk smoothie 10|Combine milk with spinach and mango|Add honey and cocoa and mix until balanced|Finish using Blender|Serve the tropical milk smoothie 10 immediately
