recipe_id,recipe_name,cuisine,meal_category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
1,Chicken Tikka Masala,Indian,Dinner,Intermediate,20,50,"Stove,Oven","chicken breast:500g,yogurt:100g,tikka masala paste:60g,onion:150g,garlic:10g,ginger:10g,tomato puree:200g,cream:100ml,cilantro:10g,rice:300g,salt:5g,oil:30ml","Marinate chicken in yogurt and spices for 30 min|Grill chicken in oven at 200C for 15 min|Sauté onion garlic ginger in oil|Add tomato puree and simmer 10 min|Add cream and grilled chicken|Garnish with cilantro and serve with rice"
2,Dal Tadka,Indian,Lunch,Beginner,10,35,"Stove,Pressure Cooker","toor dal:200g,onion:100g,tomato:100g,garlic:10g,cumin seeds:5g,turmeric:3g,red chili powder:3g,ghee:20g,cilantro:10g,salt:5g,water:500ml","Wash dal and pressure cook with turmeric and water for 15 min|Heat ghee and add cumin seeds|Add onion and sauté until golden|Add tomato and cook until soft|Add dal and mix well|Garnish with cilantro"
3,Paneer Butter Masala,Indian,Dinner,Intermediate,15,40,"Stove","paneer:250g,butter:40g,onion:150g,tomato:200g,cashew:30g,cream:50ml,ginger:10g,garlic:10g,garam masala:5g,turmeric:3g,kashmiri chili:5g,salt:5g,oil:15ml","Soak cashews in warm water 15 min|Blend tomato onion cashew into paste|Heat butter and oil|Sauté ginger garlic paste|Add blended paste and cook 10 min|Add spices and cream|Add cubed paneer and simmer 5 min"
4,Aloo Gobi,Indian,Lunch,Beginner,15,35,"Stove,Wok","potato:300g,cauliflower:300g,onion:100g,tomato:100g,turmeric:3g,cumin seeds:5g,coriander powder:5g,garam masala:3g,green chili:5g,oil:30ml,salt:5g,cilantro:10g","Cut potato and cauliflower into florets|Heat oil add cumin seeds|Sauté onion until translucent|Add tomato and spices|Add potato and cauliflower|Cover and cook on low heat 20 min|Garnish with cilantro"
5,Biryani,Indian,Dinner,Pro,30,90,"Stove,Pressure Cooker","basmati rice:400g,chicken:500g,onion:300g,yogurt:100g,tomato:100g,ginger garlic paste:30g,biryani masala:15g,saffron:1g,milk:50ml,mint:20g,cilantro:20g,ghee:50g,oil:30ml,salt:10g,whole spices:10g","Soak rice 30 min|Marinate chicken in yogurt and spices|Fry onion until golden brown|Layer partially cooked rice and chicken|Add saffron milk mint cilantro|Seal and cook on dum for 25 min"
6,Masala Chai,Indian,Breakfast,Beginner,5,10,"Stove","water:200ml,milk:200ml,black tea:10g,sugar:15g,ginger:5g,cardamom:2g,cinnamon:1g,cloves:1g","Boil water with crushed ginger cardamom cinnamon cloves|Add tea leaves and simmer 2 min|Add milk and sugar|Bring to boil|Strain and serve hot"
7,Dosa,Indian,Breakfast,Intermediate,720,750,"Stove","rice:200g,urad dal:70g,fenugreek seeds:5g,salt:5g,oil:15ml,water:400ml","Soak rice and dal separately for 6 hours|Grind into smooth batter|Ferment overnight|Heat tawa spread thin layer of batter|Drizzle oil cook until crispy|Serve with chutney and sambar"
8,Chole Bhature,Indian,Lunch,Intermediate,30,75,"Stove,Pressure Cooker","chickpeas:250g,onion:150g,tomato:150g,ginger:10g,garlic:10g,chole masala:15g,tea bag:1g,all purpose flour:200g,yogurt:50g,oil:200ml,salt:8g,baking soda:3g","Soak chickpeas overnight|Pressure cook chickpeas with tea bag|Sauté onion ginger garlic|Add tomato and chole masala|Add chickpeas and simmer|Knead dough with flour yogurt baking soda|Roll and deep fry bhature"
9,Samosa,Indian,Snack,Intermediate,40,70,"Stove","all purpose flour:200g,potato:300g,peas:50g,cumin seeds:5g,garam masala:5g,green chili:5g,ginger:10g,oil:300ml,salt:5g,ajwain:3g,cilantro:10g","Make dough with flour salt ajwain oil|Boil and mash potatoes|Sauté cumin peas ginger chili|Mix with potato and spices|Shape samosas fill with mixture|Deep fry until golden brown"
10,Gulab Jamun,Indian,Dessert,Intermediate,20,45,"Stove","milk powder:200g,all purpose flour:30g,baking soda:2g,ghee:15g,milk:50ml,sugar:300g,water:400ml,cardamom:3g,rose water:5ml,saffron:0.5g","Mix milk powder flour baking soda|Add ghee and milk to form soft dough|Shape into smooth balls|Make sugar syrup with cardamom and saffron|Fry balls on low heat until golden|Soak in warm sugar syrup 30 min"
