recipe_id,recipe_name,cuisine,meal_category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
101,Panipuri,Indian,Snack,Intermediate,25,45,"Stove","semolina puri:30g,boiled potato:200g,black chickpeas:150g,mint:20g,cilantro:20g,green chili:5g,tamarind chutney:80g,chaat masala:5g,black salt:3g,cumin powder:3g,lemon juice:20ml,cold water:500ml","Boil potatoes and chickpeas until tender|Blend mint cilantro chili lemon juice spices with cold water|Strain the pani and chill it well|Mash potatoes with chickpeas and a little chaat masala|Crack puris gently and fill with potato mixture|Add tamarind chutney and pour in spiced pani just before serving"
102,Bhelpuri,Indian,Snack,Beginner,15,20,"","puffed rice:120g,sev:40g,boiled potato:120g,onion:80g,tomato:80g,cucumber:60g,tamarind chutney:50g,green chutney:40g,chaat masala:4g,lemon juice:15ml,cilantro:15g","Chop potato onion tomato cucumber finely|Combine chutneys with lemon juice and chaat masala|Mix puffed rice with vegetables and cilantro|Fold in chutney mixture quickly|Top with sev just before serving|Serve immediately to keep the bhel crisp"
103,Sevpuri,Indian,Snack,Beginner,20,30,"","papdi:20g,boiled potato:150g,onion:80g,tomato:60g,sev:50g,tamarind chutney:50g,green chutney:40g,chaat masala:4g,cilantro:15g,pomegranate:40g","Arrange papdi on a platter|Top each papdi with mashed potato|Add onion tomato and both chutneys|Sprinkle chaat masala evenly|Finish with sev cilantro and pomegranate|Serve immediately before the papdi softens"
104,DahiPuri,Indian,Snack,Intermediate,20,35,"","golgappa puri:20g,boiled potato:150g,boiled moong sprouts:100g,yogurt:200g,tamarind chutney:50g,green chutney:40g,sev:40g,chaat masala:4g,roasted cumin powder:3g,cilantro:15g","Whisk yogurt until smooth and lightly sweeten if desired|Mash potatoes and mix with sprouts|Crack puris and fill with potato sprout mixture|Add green chutney tamarind chutney and yogurt|Dust with cumin powder and chaat masala|Top with sev cilantro and serve at once"
105,RagdaPatties,Indian,Snack,Intermediate,30,60,"Stove","dried white peas:200g,potato:300g,ginger:10g,green chili:5g,turmeric:3g,tamarind chutney:60g,green chutney:40g,onion:60g,tomato:60g,sev:40g,cilantro:20g,oil:20ml","Soak and boil white peas until soft|Season peas with turmeric ginger chili and simmer into ragda|Boil potatoes and shape into patties|Pan fry patties until golden on both sides|Top patties with ragda chutneys onion tomato and sev|Garnish with cilantro and serve hot"
106,PavBhaji,Indian,Dinner,Intermediate,25,50,"Stove","potato:250g,cauliflower:150g,green peas:100g,carrot:100g,onion:150g,tomato:250g,ginger garlic paste:20g,pav bhaji masala:12g,butter:40g,pav buns:8,paprika:4g,cilantro:20g,lemon:20g","Boil potato cauliflower peas and carrot until soft|Sauté onion and ginger garlic paste in butter|Add tomato paprika and pav bhaji masala and cook down|Mash in the cooked vegetables and simmer until thick|Toast pav buns with butter on a hot tawa|Serve bhaji with butter cilantro chopped onion and lemon"
107,VadaPav,Indian,Snack,Intermediate,30,55,"Stove","potato:300g,ginger:10g,garlic:10g,green chili:5g,mustard seeds:3g,turmeric:3g,curry leaves:5g,gram flour:180g,pav buns:6,oil:400ml,dry garlic chutney:40g","Cook potato with tempered mustard seeds curry leaves ginger garlic chili and turmeric|Cool and shape the potato filling into balls|Make a thick gram flour batter|Dip potato balls in batter and deep fry until crisp|Spread dry garlic chutney inside pav buns|Place hot batata vada in pav and serve immediately"
108,MisalPav,Indian,Breakfast,Intermediate,35,70,"Stove","matki sprouts:250g,onion:120g,tomato:150g,ginger garlic paste:15g,goda masala:10g,red chili powder:6g,turmeric:3g,poha chivda:80g,sev:40g,pav buns:6,oil:25ml,cilantro:20g","Cook sprouts until tender but not mushy|Prepare spicy misal gravy with onion tomato ginger garlic and masalas|Simmer sprouts in the gravy until flavors combine|Place poha chivda in serving bowls|Top with hot misal curry and plenty of sev|Garnish with onion cilantro and serve with pav"
109,SabudanaKhichdi,Indian,Breakfast,Beginner,20,35,"Stove","sabudana:250g,peanut powder:60g,potato:150g,green chili:5g,cumin seeds:4g,curry leaves:5g,ghee:20g,lemon juice:15ml,cilantro:15g,salt:4g","Soak sabudana until soft and separate|Roast and crush peanuts coarsely|Sauté cumin green chili curry leaves and potato in ghee|Add sabudana peanut powder and salt|Toss gently until pearls turn translucent|Finish with lemon juice and cilantro before serving"
110,KandaPoha,Indian,Breakfast,Beginner,10,20,"Stove","poha:200g,onion:120g,green peas:80g,green chili:5g,mustard seeds:3g,turmeric:3g,curry leaves:5g,peanuts:40g,oil:20ml,lemon juice:15ml,cilantro:15g","Rinse poha lightly and rest it until softened|Fry peanuts until crisp and set aside|Temper mustard seeds curry leaves chili and onion in oil|Add turmeric peas and cook briefly|Fold in poha salt and peanuts gently|Finish with lemon juice and cilantro"
111,Thalipeeth,Indian,Breakfast,Intermediate,20,35,"Stove","bhajani flour:250g,onion:100g,cilantro:20g,green chili:5g,cumin seeds:4g,turmeric:3g,yogurt:40g,oil:25ml,salt:4g","Mix flour with onion cilantro chili cumin turmeric yogurt and water|Knead into a soft dough|Pat portions into flat discs on a damp surface|Cook on a hot tawa with a little oil|Flip until both sides are well browned|Serve with yogurt pickle or white butter"
112,ZunkaBhakri,Indian,Lunch,Intermediate,20,40,"Stove","gram flour:180g,onion:120g,green chili:5g,garlic:10g,mustard seeds:3g,turmeric:3g,curry leaves:5g,oil:20ml,jowar flour:250g,water:220ml,cilantro:15g","Prepare jowar dough with warm water and shape bhakri|Cook bhakri on a hot griddle until puffed|Temper mustard seeds curry leaves onion garlic and chili in oil|Add turmeric and gram flour with splashes of water|Cook until the zunka turns crumbly and aromatic|Serve hot zunka with bhakri and cilantro"
113,BharliVangi,Indian,Dinner,Intermediate,25,50,"Stove","small eggplant:400g,onion:120g,peanut powder:60g,desiccated coconut:40g,sesame seeds:20g,goda masala:10g,jaggery:15g,tamarind pulp:20ml,oil:30ml,cilantro:15g","Slit eggplants keeping stems intact|Make stuffing with onion peanut coconut sesame goda masala jaggery and tamarind|Fill each eggplant with the masala|Pan cook stuffed eggplants in oil on low heat|Add a little water and simmer until tender|Finish with cilantro and serve with bhakri"
