recipe_id,recipe_name,cuisine,meal_category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
1,Spaghetti Carbonara,Italian,Dinner,Intermediate,10,25,"Stove","spaghetti:400g,pancetta:150g,eggs:3,parmesan cheese:80g,black pepper:3g,salt:5g,garlic:5g","Cook spaghetti in salted boiling water|Fry pancetta until crispy|Whisk eggs with parmesan and pepper|Toss hot pasta with pancetta|Add egg mixture off heat and toss quickly|Serve immediately with extra parmesan"
2,Pad Thai,Thai,Dinner,Intermediate,20,35,"Stove,Wok","rice noodles:250g,shrimp:200g,tofu:100g,eggs:2,bean sprouts:100g,peanuts:30g,green onion:30g,garlic:10g,tamarind paste:30g,fish sauce:30ml,sugar:15g,lime:30g,oil:30ml,chili flakes:5g","Soak noodles in warm water 20 min|Make sauce with tamarind fish sauce sugar|Stir fry garlic tofu shrimp in wok|Push aside and scramble eggs|Add noodles and sauce|Toss with bean sprouts and peanuts|Serve with lime wedges"
3,Caesar Salad,American,Lunch,Beginner,15,15,"Blender","romaine lettuce:300g,parmesan cheese:50g,bread:100g,garlic:10g,anchovy:15g,egg yolk:1,lemon juice:30ml,dijon mustard:10g,olive oil:80ml,salt:3g,black pepper:2g","Toast bread cubes with olive oil for croutons|Blend anchovy garlic egg yolk mustard lemon juice|Stream in olive oil to emulsify|Chop romaine lettuce|Toss with dressing parmesan croutons|Season with pepper"
4,Tacos Al Pastor,Mexican,Dinner,Pro,30,60,"Stove,Grill,Oven","pork shoulder:500g,pineapple:200g,onion:100g,cilantro:20g,corn tortilla:200g,guajillo chili:30g,achiote paste:20g,vinegar:30ml,garlic:10g,oregano:5g,cumin:3g,salt:5g,lime:30g","Toast and soak guajillo chilis|Blend chilis with achiote vinegar garlic spices|Marinate pork slices 2 hours|Grill pork with pineapple slices|Chop pork and pineapple finely|Warm tortillas|Assemble with onion cilantro lime"
5,Margherita Pizza,Italian,Dinner,Intermediate,90,115,"Oven,Stand Mixer","all purpose flour:300g,yeast:7g,water:200ml,salt:8g,olive oil:15ml,mozzarella:200g,tomato sauce:150g,basil:10g,sugar:5g","Mix flour yeast salt sugar|Add water and oil knead 10 min|Let dough rise 1 hour|Stretch dough into round|Add tomato sauce mozzarella basil|Bake at 250C for 10-12 min"
6,Tom Yum Soup,Thai,Appetizer,Intermediate,10,25,"Stove","shrimp:200g,mushroom:100g,lemongrass:20g,galangal:15g,kaffir lime leaves:5g,bird eye chili:10g,fish sauce:30ml,lime juice:30ml,coconut milk:100ml,cilantro:10g,water:800ml,tomato:100g","Boil water with lemongrass galangal lime leaves|Add mushroom and tomato|Add shrimp and cook 3 min|Add fish sauce lime juice chili|Stir in coconut milk|Garnish with cilantro"
7,French Omelette,French,Breakfast,Pro,5,10,"Stove","eggs:3,butter:20g,chives:5g,salt:2g,black pepper:1g,gruyere cheese:30g","Beat eggs with salt and pepper|Melt butter in non-stick pan|Pour eggs and stir with chopsticks|When barely set fold omelette|Fill with cheese and chives|Slide onto plate"
8,Sushi Roll,Japanese,Lunch,Pro,30,60,"Stove","sushi rice:300g,nori:4 sheets,salmon:200g,avocado:100g,cucumber:80g,rice vinegar:30ml,sugar:15g,salt:5g,soy sauce:30ml,wasabi:10g,pickled ginger:30g","Cook rice and season with vinegar sugar salt|Slice fish and vegetables thinly|Place nori on bamboo mat|Spread rice on nori|Add fillings in center|Roll tightly with mat|Slice into 8 pieces"
9,Greek Salad,Mediterranean,Lunch,Beginner,10,10,"","tomato:200g,cucumber:150g,red onion:50g,feta cheese:100g,kalamata olives:50g,olive oil:40ml,oregano:3g,salt:3g,black pepper:2g,lemon juice:15ml","Chop tomato cucumber onion into chunks|Add olives and feta|Drizzle with olive oil and lemon juice|Season with oregano salt pepper|Toss gently and serve"
10,Beef Bulgogi,Korean,Dinner,Intermediate,20,40,"Stove,Grill","beef sirloin:500g,soy sauce:60ml,sesame oil:15ml,sugar:30g,garlic:15g,ginger:10g,pear:100g,green onion:30g,sesame seeds:5g,black pepper:3g,rice:300g","Slice beef thinly against grain|Blend pear garlic ginger for marinade|Mix with soy sauce sesame oil sugar|Marinate beef 30 min|Grill or pan fry until caramelized|Garnish with green onion sesame seeds|Serve with steamed rice"
11,Smoothie Bowl,Global,Breakfast,Beginner,10,10,"Blender","banana:200g,mixed berries:150g,yogurt:100g,almond milk:100ml,granola:50g,honey:15g,chia seeds:10g,coconut flakes:10g","Blend frozen banana berries yogurt almond milk|Pour thick smoothie into bowl|Top with granola chia seeds coconut|Drizzle honey on top"
12,Eggs Benedict,American,Breakfast,Pro,15,30,"Stove","eggs:4,english muffin:2,canadian bacon:100g,butter:100g,egg yolk:3,lemon juice:15ml,cayenne:1g,vinegar:15ml,salt:3g,chives:5g","Make hollandaise by whisking yolks lemon over double boiler|Slowly add melted butter while whisking|Season with cayenne salt|Poach eggs in simmering vinegar water|Toast muffins and warm bacon|Assemble muffin bacon egg hollandaise|Garnish with chives"
